attendance,study_hours,past_failures,assignments_completed_pct,parental_education,family_income,extracurricular,internet_access,previous_grade,final_score,risk_category
36.72,7.45,1,78.42,Higher,Low,Yes,Yes,70.78,53.88,At-Risk
100.0,14.53,4,87.82,Higher,Low,No,Yes,100.0,98.85,Safe
79.58,0.21,2,65.82,Higher,Low,Yes,Yes,52.16,59.87,High-Risk
55.25,3.49,0,8.5,Secondary,Low,No,Yes,59.59,51.0,High-Risk
86.19,6.54,0,100.0,Higher,Low,No,Yes,86.09,92.02,Safe
78.65,10.68,2,62.65,Secondary,High,No,Yes,94.9,67.63,Safe
67.38,7.74,0,35.04,Higher,Low,No,Yes,64.06,44.4,High-Risk
44.79,12.46,3,11.19,Secondary,Medium,No,Yes,63.08,50.76,High-Risk
39.09,6.28,3,78.6,Primary,Low,Yes,Yes,65.53,46.62,High-Risk
100.0,7.1,3,100.0,Higher,Medium,No,Yes,68.3,71.8,Safe
41.18,5.76,0,59.56,Secondary,High,No,Yes,77.74,46.18,High-Risk
100.0,4.22,1,65.41,none,Medium,No,Yes,100.0,71.5,Safe
53.88,8.36,0,81.53,Higher,Low,Yes,Yes,52.68,64.41,At-Risk
94.75,7.69,4,56.31,Secondary,Medium,Yes,Yes,87.77,59.82,At-Risk
86.64,8.3,2,56.62,Primary,High,No,Yes,78.13,78.39,At-Risk
91.64,10.84,0,71.47,Higher,Low,No,No,78.86,75.79,Safe
93.3,5.42,3,55.42,Primary,High,Yes,Yes,92.13,73.49,At-Risk
34.71,5.59,4,73.36,Higher,Medium,No,Yes,100.0,45.98,High-Risk
58.09,9.08,0,81.89,none,Medium,No,Yes,93.11,87.0,Safe
40.8,0.0,1,48.91,Higher,Low,Yes,Yes,56.66,47.37,High-Risk
79.73,0.01,1,100.0,Secondary,Low,Yes,Yes,70.27,56.37,At-Risk
41.92,11.61,3,61.15,Higher,High,Yes,Yes,45.67,64.15,High-Risk
25.47,2.13,1,100.0,Secondary,Medium,Yes,Yes,57.57,18.14,High-Risk
69.06,6.43,3,79.85,Primary,High,Yes,Yes,55.67,67.6,At-Risk
19.77,7.23,2,49.13,Higher,Low,Yes,Yes,100.0,18.39,High-Risk
81.47,10.29,2,65.99,Secondary,Low,Yes,Yes,78.86,64.0,Safe
43.56,3.72,1,70.32,Higher,Low,Yes,Yes,42.81,27.82,High-Risk
53.99,8.65,0,80.4,Higher,Low,No,No,65.8,51.48,At-Risk
17.99,2.72,1,50.62,none,Low,No,No,75.52,29.44,High-Risk
100.0,3.57,1,58.73,Higher,Medium,No,Yes,80.09,72.4,At-Risk
38.43,4.13,3,65.71,Higher,Medium,Yes,Yes,80.87,44.27,High-Risk
65.9,4.56,0,41.71,Secondary,Low,Yes,Yes,100.0,58.53,At-Risk
30.21,3.15,1,62.05,Primary,High,Yes,Yes,82.9,30.61,High-Risk
54.11,5.33,3,70.94,Higher,Medium,No,Yes,66.32,54.64,High-Risk
100.0,7.09,2,59.27,Secondary,High,No,Yes,100.0,64.86,Safe
82.44,9.94,0,100.0,Secondary,Low,No,Yes,95.03,99.07,Safe
56.91,1.4,3,100.0,Higher,High,Yes,Yes,95.54,50.57,High-Risk
74.15,1.13,1,100.0,Primary,High,Yes,Yes,100.0,62.79,At-Risk
60.99,2.19,1,45.59,Secondary,Medium,Yes,Yes,53.84,67.15,High-Risk
72.69,6.38,1,56.82,Primary,High,Yes,Yes,88.95,71.61,At-Risk
93.6,8.19,0,83.47,Secondary,Low,No,No,49.3,83.04,Safe
,4.14,0,95.77,Secondary,High,No,Yes,96.09,67.73,Safe
80.5,11.42,2,78.21,Higher,Low,Yes,Yes,63.91,79.33,Safe
80.91,7.69,3,70.74,Secondary,Low,No,Yes,43.89,47.58,At-Risk
66.85,7.47,2,84.07,Higher,Medium,Yes,Yes,51.9,65.23,At-Risk
56.6,9.74,1,64.74,Higher,Low,Yes,Yes,56.7,59.09,At-Risk
61.87,9.91,3,66.98,Secondary,Low,Yes,Yes,100.0,82.41,At-Risk
92.48,8.09,0,87.11,Primary,Medium,Yes,Yes,48.6,68.5,Safe
94.56,0.64,3,85.26,Secondary,Medium,Yes,Yes,84.33,66.67,At-Risk
46.56,15.0,0,32.6,Higher,Low,Yes,Yes,59.21,40.69,At-Risk
68.48,2.94,3,100.0,Secondary,Low,Yes,Yes,51.68,66.48,At-Risk
56.18,12.16,4,100.0,Secondary,High,No,Yes,100.0,62.43,Safe
95.0,0.0,2,57.68,Secondary,Low,No,No,76.38,56.15,High-Risk
63.22,4.16,2,90.21,Secondary,Low,No,Yes,62.18,62.43,At-Risk
100.0,5.23,3,52.92,Secondary,Medium,No,Yes,58.69,82.74,At-Risk
80.45,10.31,1,75.15,Higher,Medium,No,Yes,100.0,67.09,Safe
100.0,8.45,2,51.19,Secondary,Low,No,Yes,100.0,77.88,Safe
49.63,8.66,2,41.55,Secondary,Low,Yes,No,49.7,57.46,High-Risk
75.29,13.96,2,51.2,Secondary,Medium,Yes,Yes,83.58,67.61,Safe
90.4,13.49,1,47.89,Secondary,High,No,Yes,42.38,75.22,Safe
49.17,9.98,1,19.09,Secondary,Low,No,Yes,32.89,54.2,High-Risk
75.51,4.07,2,67.45,Secondary,Medium,Yes,Yes,100.0,52.56,At-Risk
100.0,5.74,0,62.55,Secondary,Low,Yes,Yes,46.68,53.93,At-Risk
66.81,1.63,1,94.38,Higher,High,Yes,Yes,65.15,54.29,At-Risk
,9.26,0,94.66,Secondary,Medium,No,Yes,61.24,60.61,Safe
100.0,2.89,1,81.53,Higher,High,Yes,Yes,96.48,70.67,At-Risk
45.71,4.63,0,78.28,Secondary,Low,No,No,74.64,34.63,High-Risk
78.9,4.85,0,100.0,Primary,Medium,Yes,Yes,100.0,80.4,Safe
57.29,7.06,0,64.61,Secondary,High,Yes,Yes,66.14,72.79,At-Risk
51.58,5.15,3,100.0,Secondary,Low,No,Yes,55.87,52.39,At-Risk
93.54,4.59,2,26.43,Secondary,Low,Yes,Yes,52.08,60.05,High-Risk
69.86,5.72,1,67.16,none,Medium,No,Yes,75.55,64.07,At-Risk
85.15,9.0,1,31.17,Secondary,Medium,No,Yes,57.05,37.15,At-Risk
18.62,10.62,3,90.38,Secondary,Low,Yes,Yes,48.02,64.78,High-Risk
87.58,6.47,1,89.82,none,Low,No,Yes,100.0,66.31,Safe
56.99,5.97,5,97.67,Secondary,Low,No,Yes,78.57,46.68,At-Risk
28.03,5.82,1,100.0,Secondary,High,Yes,Yes,79.61,79.19,At-Risk
100.0,0.0,1,46.87,Secondary,Medium,Yes,Yes,91.43,39.27,At-Risk
90.03,7.47,3,84.36,Secondary,Low,Yes,No,51.21,62.94,At-Risk
80.68,0.0,1,88.43,Secondary,Medium,No,Yes,67.66,62.06,At-Risk
100.0,7.39,0,49.93,Secondary,High,No,Yes,97.85,80.5,Safe
,12.89,4,89.08,Higher,Medium,No,Yes,41.0,77.13,At-Risk
55.03,2.42,1,20.4,Secondary,Medium,Yes,Yes,79.2,41.51,High-Risk
70.63,1.32,0,64.1,none,Low,No,Yes,83.72,53.53,At-Risk
58.04,6.51,2,37.49,none,Low,No,Yes,86.77,67.31,High-Risk
62.49,0.68,4,47.3,Higher,Medium,No,Yes,100.0,43.13,High-Risk
43.56,2.2,0,65.7,Secondary,High,Yes,Yes,72.08,42.26,High-Risk
50.75,12.09,1,79.61,none,Low,No,Yes,57.32,55.44,At-Risk
97.36,5.93,0,52.23,none,Low,No,No,84.69,58.45,At-Risk
83.3,0.0,2,86.16,Higher,Medium,Yes,Yes,81.61,56.62,At-Risk
62.42,10.53,1,37.7,Secondary,Medium,Yes,Yes,55.28,74.19,At-Risk
49.3,3.4,5,68.47,Secondary,Low,Yes,Yes,85.75,49.77,High-Risk
64.87,11.4,1,85.65,none,Low,Yes,Yes,68.44,74.92,Safe
32.9,2.58,2,78.1,Primary,Low,No,Yes,80.59,48.78,High-Risk
78.17,10.1,3,84.34,Secondary,High,No,Yes,100.0,70.02,Safe
98.64,14.12,4,67.76,Higher,Low,Yes,No,81.06,68.61,Safe
100.0,7.29,3,67.49,Secondary,Medium,No,Yes,76.89,53.54,Safe
47.42,9.47,3,70.54,Secondary,Medium,Yes,Yes,66.33,56.16,At-Risk
97.6,5.83,2,74.86,Primary,High,Yes,Yes,67.9,64.01,At-Risk
57.32,8.79,1,43.01,none,High,Yes,Yes,100.0,62.24,At-Risk
46.79,11.83,1,77.36,none,Medium,Yes,Yes,86.13,65.85,At-Risk
46.78,0.18,5,77.1,Secondary,Low,Yes,No,87.63,15.64,High-Risk
78.52,0.82,0,87.47,Primary,Medium,No,Yes,89.44,70.66,At-Risk
51.73,0.0,4,62.2,Primary,Medium,No,Yes,69.36,67.29,High-Risk
59.83,11.24,0,58.68,Secondary,High,Yes,Yes,89.31,85.34,Safe
63.99,2.37,4,81.09,Primary,High,No,Yes,100.0,37.67,At-Risk
56.5,9.39,0,65.56,Higher,Medium,No,Yes,97.01,63.49,At-Risk
54.69,14.47,1,58.01,Secondary,Low,No,Yes,56.46,56.63,At-Risk
14.27,14.13,5,59.93,Secondary,High,No,Yes,72.18,27.13,High-Risk
77.17,3.2,3,20.24,Secondary,Low,Yes,Yes,41.78,29.01,High-Risk
76.69,6.96,0,73.53,Higher,High,No,Yes,50.74,78.11,At-Risk
55.07,7.49,0,66.11,Higher,High,Yes,Yes,94.41,54.43,At-Risk
84.01,9.46,0,100.0,Secondary,Medium,Yes,Yes,89.57,85.24,Safe
100.0,1.07,2,99.69,Higher,Low,No,Yes,76.13,68.54,At-Risk
75.59,13.7,1,96.79,Higher,Low,Yes,No,74.44,83.01,Safe
100.0,7.72,0,63.75,Secondary,Low,Yes,No,71.97,71.47,Safe
100.0,15.0,0,100.0,Secondary,Medium,Yes,Yes,58.03,99.28,Safe
100.0,5.2,1,72.14,Secondary,Low,Yes,Yes,91.05,88.37,Safe
45.29,8.49,1,100.0,Secondary,Medium,Yes,Yes,96.92,75.83,At-Risk
45.42,7.51,3,49.1,Secondary,Medium,Yes,No,71.39,45.57,High-Risk
63.89,3.74,1,93.14,Secondary,Medium,No,Yes,100.0,79.69,At-Risk
78.22,2.38,4,49.87,none,High,Yes,Yes,96.52,52.08,High-Risk
100.0,6.29,3,75.5,Higher,Low,No,Yes,48.74,63.76,At-Risk
90.68,0.0,2,85.08,Secondary,Medium,Yes,Yes,61.49,56.67,At-Risk
44.92,4.76,2,65.11,Primary,Low,No,Yes,53.32,64.91,High-Risk
59.71,10.66,4,68.82,Secondary,Low,No,Yes,88.6,65.78,At-Risk
73.95,3.13,1,100.0,Secondary,High,No,Yes,65.7,87.73,At-Risk
37.77,1.91,0,79.56,Higher,Low,Yes,Yes,100.0,60.3,High-Risk
75.34,3.22,2,27.89,Secondary,High,No,Yes,58.81,37.48,High-Risk
45.29,4.1,2,98.86,Secondary,Low,Yes,Yes,68.78,45.05,High-Risk
33.73,3.33,0,88.54,Higher,Low,No,Yes,83.94,51.78,High-Risk
51.33,0.0,2,76.08,Primary,Medium,Yes,Yes,88.85,39.85,High-Risk
85.28,10.82,4,77.22,Higher,Medium,Yes,Yes,84.71,55.98,Safe
85.1,12.88,0,86.61,Higher,Low,Yes,Yes,87.31,83.49,Safe
77.42,1.08,0,64.77,none,Low,Yes,Yes,83.9,66.45,At-Risk
99.79,4.14,3,100.0,Secondary,Low,Yes,No,79.51,87.43,Safe
97.14,8.46,0,92.84,Higher,High,No,Yes,71.25,69.06,Safe
80.11,11.67,3,18.92,Secondary,Medium,Yes,Yes,88.09,59.81,At-Risk
76.66,0.9,2,89.57,Secondary,Low,No,Yes,49.02,61.74,High-Risk
78.24,3.74,3,100.0,Primary,Low,No,Yes,57.69,66.26,At-Risk
71.31,10.34,3,93.9,Primary,Low,Yes,Yes,100.0,81.96,Safe
20.64,10.78,0,100.0,Higher,Medium,No,No,48.95,61.81,At-Risk
100.0,0.0,4,91.35,Secondary,Low,No,Yes,74.29,66.01,At-Risk
84.94,3.48,0,100.0,Secondary,Low,Yes,Yes,80.04,85.27,Safe
44.59,6.78,0,61.45,Primary,Medium,No,Yes,96.1,61.58,At-Risk
100.0,7.56,3,0.0,Secondary,High,Yes,Yes,67.42,47.75,High-Risk
60.25,3.68,5,76.81,none,Medium,No,Yes,100.0,74.71,High-Risk
72.31,2.51,1,100.0,Primary,Low,No,Yes,93.99,58.82,At-Risk
100.0,4.91,1,100.0,Secondary,High,Yes,Yes,80.18,71.07,Safe
80.5,7.67,2,62.16,Secondary,Medium,Yes,No,43.6,63.42,At-Risk
100.0,0.0,3,100.0,Secondary,Low,No,Yes,100.0,73.21,At-Risk
66.2,0.0,1,100.0,none,High,No,Yes,90.97,67.38,At-Risk
100.0,7.28,1,42.15,Secondary,High,Yes,No,48.27,64.35,At-Risk
55.55,6.61,3,100.0,Higher,Low,Yes,Yes,89.54,62.57,At-Risk
100.0,5.13,2,30.06,Secondary,Low,Yes,Yes,38.92,44.26,High-Risk
18.37,8.16,2,79.27,Higher,Medium,No,No,68.82,23.95,High-Risk
47.5,8.19,0,80.37,Secondary,Medium,Yes,Yes,92.11,72.0,At-Risk
82.45,5.28,0,55.69,Higher,Low,Yes,Yes,60.01,70.72,At-Risk
64.99,5.21,3,69.81,Higher,Medium,Yes,Yes,92.73,64.53,At-Risk
73.13,3.36,5,83.97,Higher,Low,No,Yes,67.8,49.32,High-Risk
76.04,4.73,3,62.64,Secondary,High,No,Yes,95.98,63.54,At-Risk
45.23,6.38,4,100.0,Secondary,Medium,No,Yes,66.53,39.76,High-Risk
47.1,7.11,2,50.04,Higher,High,No,Yes,92.36,61.68,High-Risk
80.8,0.0,3,62.47,Higher,Low,No,Yes,90.32,18.63,High-Risk
58.34,4.91,4,78.88,Secondary,Low,No,Yes,58.32,54.99,High-Risk
100.0,7.66,0,67.14,Secondary,Low,Yes,No,100.0,100.0,Safe
70.2,4.96,0,56.65,Primary,Low,No,Yes,20.75,45.33,High-Risk
92.97,12.05,0,100.0,Secondary,Low,Yes,Yes,78.47,100.0,Safe
86.07,4.93,5,96.28,Secondary,Low,Yes,Yes,63.31,75.33,At-Risk
59.97,5.99,3,19.41,Primary,Medium,No,Yes,100.0,50.03,High-Risk
25.49,8.67,2,71.56,Secondary,Low,No,Yes,83.83,43.16,High-Risk
100.0,4.68,5,80.65,Higher,Medium,Yes,Yes,74.22,39.68,At-Risk
50.53,15.0,2,75.89,Secondary,High,No,Yes,67.64,64.62,At-Risk
64.91,4.81,1,37.95,Higher,Low,Yes,Yes,65.08,50.04,High-Risk
71.23,0.0,3,73.62,Primary,High,Yes,No,100.0,56.65,At-Risk
73.72,0.6,1,66.95,none,Medium,Yes,No,82.63,67.94,High-Risk
99.05,5.01,0,95.62,Higher,Medium,No,Yes,43.06,75.47,Safe
75.15,7.16,0,36.53,Higher,Low,Yes,Yes,100.0,60.83,At-Risk
71.82,3.0,2,49.47,none,Low,No,Yes,100.0,44.01,At-Risk
,11.02,3,31.95,Secondary,Medium,Yes,Yes,43.86,62.6,High-Risk
90.02,9.27,3,82.64,none,High,Yes,No,66.67,57.42,Safe
56.61,7.13,3,68.6,Secondary,Low,No,Yes,100.0,72.46,At-Risk
46.32,8.86,0,65.64,Higher,Medium,No,Yes,72.99,40.93,At-Risk
54.41,10.63,0,69.95,Secondary,High,No,Yes,45.33,67.72,At-Risk
73.77,3.9,3,100.0,Primary,Medium,Yes,Yes,61.28,59.09,At-Risk
43.85,6.19,1,91.37,Higher,Low,Yes,Yes,100.0,61.38,At-Risk
77.27,1.26,1,15.04,Secondary,Low,No,Yes,100.0,33.53,High-Risk
71.77,15.0,3,86.53,Secondary,Low,Yes,Yes,32.04,75.92,Safe
11.44,3.96,0,75.42,Higher,High,No,Yes,85.63,51.54,High-Risk
39.85,0.0,2,82.3,Secondary,Low,No,Yes,55.75,53.42,High-Risk
10.0,4.3,3,94.55,Secondary,High,Yes,Yes,85.55,67.36,High-Risk
,4.18,0,86.89,Higher,High,No,Yes,100.0,86.98,At-Risk
100.0,8.86,3,39.54,Primary,Medium,Yes,Yes,44.18,71.93,At-Risk
27.73,8.62,1,84.98,Secondary,High,Yes,Yes,79.17,71.75,At-Risk
41.94,9.36,4,64.75,none,High,Yes,Yes,90.74,40.76,High-Risk
70.91,5.53,1,77.33,Secondary,Low,Yes,No,4.63,40.51,High-Risk
48.41,7.75,2,77.59,Secondary,High,Yes,Yes,73.51,73.98,At-Risk
,0.0,3,59.59,Primary,Medium,No,Yes,51.21,37.17,High-Risk
88.54,4.75,3,49.24,Higher,Low,No,Yes,57.5,42.48,At-Risk
62.63,12.51,2,65.35,none,Low,No,Yes,37.24,60.43,At-Risk
37.83,12.59,3,100.0,Higher,Medium,No,Yes,100.0,86.2,At-Risk
22.81,2.92,2,35.09,Primary,Low,No,Yes,88.51,45.15,High-Risk
100.0,5.69,2,100.0,Secondary,Low,No,Yes,59.03,65.9,Safe
100.0,4.99,1,77.04,Higher,Medium,Yes,Yes,59.79,68.53,At-Risk
63.71,0.16,3,95.86,none,Low,No,Yes,80.05,62.47,High-Risk
77.2,6.58,3,69.21,Secondary,Low,No,Yes,65.53,51.82,At-Risk
62.79,4.08,0,65.48,none,High,Yes,Yes,59.65,53.94,At-Risk
87.76,1.38,0,100.0,Primary,High,Yes,Yes,94.79,58.11,Safe
53.64,0.0,2,83.96,Higher,Low,No,No,100.0,55.42,High-Risk
61.42,9.65,3,19.77,Higher,High,No,Yes,68.08,43.98,High-Risk
86.39,0.0,1,94.17,Secondary,High,No,No,62.29,58.83,At-Risk
100.0,8.13,3,84.89,Higher,Medium,Yes,Yes,87.45,74.73,Safe
93.54,9.53,5,79.54,Secondary,Medium,No,Yes,55.32,56.61,At-Risk
100.0,3.83,3,72.41,Primary,High,Yes,Yes,77.28,53.56,At-Risk
67.19,8.05,1,43.98,Secondary,Low,No,Yes,72.26,58.74,At-Risk
59.42,0.0,0,89.14,Secondary,High,No,Yes,88.34,41.42,At-Risk
26.54,8.85,1,53.93,Higher,Low,Yes,Yes,78.52,50.9,High-Risk
76.8,8.67,1,73.94,Secondary,Medium,Yes,Yes,87.27,65.21,Safe
84.48,6.53,2,53.32,Secondary,High,Yes,Yes,91.78,73.19,At-Risk
67.5,7.75,2,100.0,none,Low,No,Yes,53.61,55.4,At-Risk
55.58,6.24,3,46.92,Secondary,Medium,Yes,Yes,52.25,55.72,High-Risk
100.0,1.09,1,76.48,Secondary,Medium,No,Yes,76.68,46.86,At-Risk
90.8,7.28,3,100.0,Primary,High,Yes,Yes,60.87,68.37,Safe
100.0,7.15,3,61.05,Primary,Low,No,Yes,85.86,53.71,Safe
51.16,7.99,2,1.76,Secondary,High,Yes,Yes,50.6,39.48,High-Risk
57.29,5.78,0,100.0,Secondary,Medium,Yes,Yes,42.76,69.13,At-Risk
100.0,5.29,1,46.69,Primary,Low,Yes,Yes,54.65,89.09,At-Risk
73.82,8.57,1,76.28,Secondary,Medium,No,Yes,82.42,78.48,Safe
60.77,0.0,0,60.02,none,High,No,Yes,53.81,47.72,High-Risk
62.51,9.18,0,100.0,Secondary,Low,Yes,Yes,100.0,73.1,Safe
74.72,4.15,0,59.9,Secondary,High,Yes,Yes,100.0,63.36,At-Risk
100.0,6.07,0,97.75,Secondary,Low,No,Yes,67.77,98.81,Safe
70.99,1.98,3,39.54,Secondary,Low,Yes,Yes,68.95,51.05,High-Risk
94.76,10.13,3,74.46,Higher,High,Yes,Yes,54.67,66.2,Safe
86.68,9.6,5,60.36,Primary,High,No,Yes,79.01,58.42,At-Risk
53.04,6.61,0,62.15,Higher,Medium,No,Yes,44.45,40.44,High-Risk
53.02,1.76,1,82.31,Secondary,High,No,Yes,40.5,44.92,High-Risk
63.74,1.8,2,48.15,Higher,High,No,No,92.25,47.45,High-Risk
41.58,5.35,2,52.44,Secondary,High,Yes,Yes,70.66,29.8,High-Risk
62.15,0.32,3,84.62,Secondary,Low,Yes,No,100.0,65.98,High-Risk
100.0,9.32,2,100.0,Higher,High,Yes,Yes,100.0,91.54,Safe
74.22,6.44,2,47.54,none,High,No,Yes,90.88,60.47,At-Risk
55.84,4.52,3,68.16,Higher,High,No,Yes,96.21,58.29,High-Risk
100.0,3.5,2,42.18,Secondary,Low,No,Yes,56.27,58.31,At-Risk
51.73,7.09,3,33.74,Secondary,Low,Yes,Yes,100.0,51.35,High-Risk
50.95,5.41,4,74.2,Secondary,Medium,No,Yes,99.67,67.21,High-Risk
100.0,6.78,1,99.35,Higher,High,No,Yes,66.78,80.77,Safe
91.53,1.18,0,70.02,Higher,Low,No,Yes,100.0,64.77,At-Risk
71.75,1.61,3,62.26,Secondary,Medium,No,Yes,32.16,27.84,High-Risk
95.8,13.66,0,80.23,Secondary,Low,Yes,Yes,80.76,96.16,Safe
82.52,9.98,0,67.3,Secondary,Low,No,Yes,94.67,81.78,Safe
45.35,4.24,3,64.96,Secondary,Low,Yes,Yes,45.55,27.07,High-Risk
15.06,2.48,1,78.55,Secondary,Medium,Yes,Yes,83.16,52.32,High-Risk
60.82,2.68,2,80.43,Secondary,High,No,No,59.09,52.36,High-Risk
100.0,3.62,4,73.06,Secondary,High,No,Yes,47.79,62.89,At-Risk
64.29,3.88,1,90.44,Primary,Low,No,No,75.62,55.43,At-Risk
86.5,7.8,0,72.12,none,Low,No,Yes,81.42,60.73,Safe
79.61,13.98,4,56.6,none,Low,Yes,Yes,72.54,73.75,At-Risk
32.66,14.5,0,54.83,Secondary,Medium,Yes,No,41.04,58.91,At-Risk
64.84,14.11,0,63.26,none,Low,Yes,Yes,55.44,74.04,At-Risk
83.97,2.46,0,52.12,Higher,Low,Yes,Yes,100.0,68.71,At-Risk
55.32,9.75,2,65.76,Secondary,Medium,No,Yes,62.83,59.2,At-Risk
65.94,7.31,2,73.41,Secondary,Medium,No,Yes,100.0,58.43,At-Risk
84.79,5.76,5,36.11,Secondary,Medium,No,No,57.85,32.64,High-Risk
76.82,6.78,1,75.07,none,Low,Yes,Yes,70.64,63.8,At-Risk
100.0,8.78,3,100.0,Higher,Low,Yes,Yes,80.05,84.06,Safe
84.59,7.79,0,40.96,Secondary,Low,No,Yes,99.12,53.94,At-Risk
51.1,7.16,2,50.85,Secondary,Medium,No,Yes,47.72,46.12,High-Risk
63.06,7.66,3,68.3,Secondary,Low,No,No,100.0,61.68,At-Risk
75.51,6.23,3,95.42,Secondary,Medium,Yes,Yes,42.87,54.52,At-Risk
100.0,2.98,3,73.56,Primary,Low,Yes,Yes,51.25,64.38,At-Risk
63.16,3.86,2,69.73,Secondary,Medium,No,Yes,92.99,57.78,At-Risk
31.69,0.0,0,75.67,Secondary,High,No,Yes,75.38,37.3,High-Risk
86.01,9.65,3,55.21,Secondary,Medium,Yes,Yes,90.89,68.63,At-Risk
56.11,2.32,1,42.43,Secondary,High,Yes,No,66.75,55.15,High-Risk
42.87,5.79,2,82.12,Higher,Low,No,Yes,65.19,53.1,High-Risk
75.47,6.23,1,54.05,none,High,No,Yes,50.75,58.74,At-Risk
99.32,7.84,0,96.49,Secondary,Low,Yes,Yes,93.54,98.01,Safe
60.65,7.79,1,51.09,Higher,Low,Yes,Yes,27.29,31.37,High-Risk
87.41,9.43,1,97.9,Higher,Low,Yes,Yes,61.14,82.38,Safe
92.05,4.67,3,92.0,Primary,Medium,Yes,Yes,100.0,75.46,Safe
94.79,1.04,2,100.0,Secondary,Low,No,Yes,100.0,81.42,At-Risk
56.69,5.99,1,52.74,none,Medium,No,Yes,64.18,58.76,High-Risk
46.97,3.68,2,80.57,Primary,Medium,No,Yes,100.0,70.34,High-Risk
50.38,8.48,2,69.21,none,High,Yes,Yes,71.49,68.43,At-Risk
94.77,7.48,0,85.74,Primary,Low,Yes,Yes,43.87,62.09,Safe
91.68,1.65,0,100.0,Higher,Low,Yes,Yes,70.96,70.43,Safe
51.07,7.72,1,95.12,Secondary,Medium,Yes,Yes,48.91,63.64,At-Risk
100.0,2.05,0,54.31,Higher,Medium,No,Yes,96.69,69.57,At-Risk
48.09,4.37,0,71.66,Primary,High,No,Yes,100.0,33.59,At-Risk
99.99,5.41,1,38.46,none,Low,No,Yes,25.36,42.97,High-Risk
100.0,0.0,0,100.0,Secondary,Medium,No,Yes,89.67,73.7,Safe
77.74,10.97,1,60.59,none,High,Yes,Yes,100.0,70.35,Safe
55.76,3.25,2,55.94,Primary,Low,Yes,Yes,84.86,48.36,High-Risk
56.3,2.06,2,92.84,Higher,High,No,Yes,100.0,60.41,At-Risk
68.45,5.22,3,65.12,Secondary,Low,Yes,Yes,84.02,57.48,At-Risk
100.0,2.26,5,100.0,none,High,No,No,73.2,72.89,At-Risk
45.0,15.0,3,91.95,Secondary,High,No,Yes,80.13,61.57,At-Risk
29.03,8.33,1,44.52,Secondary,Low,Yes,Yes,63.07,43.29,High-Risk
84.05,0.23,3,72.39,Primary,High,Yes,Yes,100.0,51.63,At-Risk
89.54,9.47,0,27.19,Secondary,High,No,Yes,78.51,48.79,At-Risk
100.0,0.58,0,100.0,Primary,High,No,Yes,39.3,65.73,At-Risk
40.44,7.01,1,73.55,Primary,Low,No,Yes,82.16,76.61,At-Risk
71.63,11.15,0,59.15,Secondary,Medium,Yes,Yes,77.75,70.46,Safe
100.0,4.84,0,96.03,Higher,Low,Yes,Yes,39.94,78.1,Safe
78.02,1.45,2,31.4,Secondary,Low,Yes,No,87.92,36.27,High-Risk
70.11,5.39,3,71.33,Higher,Low,No,Yes,100.0,82.38,At-Risk
94.75,1.53,2,100.0,Secondary,Low,Yes,Yes,100.0,88.89,At-Risk
60.02,0.0,2,92.63,Secondary,Low,No,Yes,39.46,47.76,High-Risk
96.29,9.84,4,100.0,Higher,Low,No,No,80.23,99.28,Safe
43.66,7.89,4,85.37,Secondary,Low,Yes,Yes,63.51,50.75,High-Risk
37.01,1.91,1,100.0,Secondary,Medium,Yes,Yes,89.58,62.4,High-Risk
68.16,8.77,2,60.44,Primary,Low,Yes,Yes,71.95,58.87,At-Risk
10.92,5.93,3,73.35,Secondary,High,No,Yes,50.31,40.76,High-Risk
77.12,3.11,2,39.21,Secondary,Low,Yes,Yes,86.79,40.43,High-Risk
31.69,7.62,2,76.59,none,Medium,Yes,Yes,82.2,58.69,At-Risk
82.06,4.52,0,55.05,Secondary,Low,No,No,91.55,75.3,At-Risk
79.64,0.0,5,100.0,Secondary,Medium,No,Yes,42.8,67.97,High-Risk
73.3,13.91,0,86.43,Secondary,Medium,Yes,Yes,61.12,77.23,Safe
85.91,12.93,0,84.19,Secondary,Low,Yes,Yes,94.74,100.0,Safe
80.1,10.18,1,71.76,Primary,Low,No,Yes,14.52,72.1,At-Risk
67.67,5.48,0,57.61,Higher,Low,No,Yes,66.95,51.52,At-Risk
100.0,11.41,3,76.26,Secondary,Medium,No,No,67.02,87.38,Safe
84.83,3.85,1,90.84,Secondary,Medium,Yes,No,59.42,65.22,At-Risk
94.3,0.73,5,81.23,Primary,Low,Yes,Yes,33.05,43.33,High-Risk
100.0,2.3,5,55.28,Secondary,Low,Yes,Yes,47.43,37.64,High-Risk
91.7,11.25,0,49.84,Secondary,Medium,No,Yes,67.54,76.02,Safe
100.0,1.43,0,85.42,Primary,Medium,Yes,Yes,100.0,58.3,Safe
79.15,1.15,2,42.62,Secondary,Low,No,Yes,84.51,27.3,High-Risk
74.83,4.12,0,84.78,Higher,Low,No,Yes,67.25,77.58,At-Risk
58.76,1.41,1,36.09,Primary,Medium,Yes,Yes,38.64,33.91,High-Risk
68.59,6.93,3,100.0,Primary,Low,Yes,Yes,33.59,61.06,At-Risk
56.72,11.91,1,83.2,Primary,High,Yes,Yes,100.0,85.86,Safe
91.93,14.13,1,73.19,none,High,Yes,Yes,100.0,73.28,Safe
52.19,6.73,4,93.75,Primary,Medium,Yes,Yes,40.5,46.84,High-Risk
